Year,Month,Min Avg Temperature (°C),Max Avg Temperature (°C),Min Avg Air Humidity (%),Max Avg Air Humidity (%),Precipitation (mm)
1998,6,13.04,27.27,0.00,0.00,1.00
1998,7,12.82,29.86,0.00,0.00,1.00
1998,8,15.75,29.92,0.00,0.00,90.40
1998,9,17.41,30.72,0.00,0.00,80.70
1998,10,18.59,30.73,0.00,0.00,182.60
1998,11,18.48,31.85,0.00,0.00,63.40
1998,12,20.36,31.11,0.00,0.00,252.00
1999,1,20.75,31.74,0.00,0.00,322.00
1999,2,20.79,32.27,0.00,0.00,144.20
1999,3,20.44,31.56,0.00,0.00,130.00
1999,4,17.63,30.74,0.00,0.00,43.40
1999,5,13.00,27.83,0.00,0.00,35.40
1999,6,13.72,27.81,0.00,0.00,53.40
1999,7,15.08,29.97,0.00,0.00,1.20
1999,8,14.54,30.85,0.00,0.00,0.00
1999,9,17.13,32.79,0.00,0.00,42.40
1999,10,18.11,33.75,0.00,0.00,37.20
1999,11,18.24,31.61,0.00,0.00,86.40
1999,12,20.39,32.16,46.68,94.90,210.00
2000,1,19.89,29.38,55.46,94.96,244.60
2000,2,20.16,29.74,64.07,98.03,320.80
2000,3,19.92,29.12,58.32,99.41,232.80
2000,4,16.77,28.97,46.52,93.99,31.60
2000,5,13.99,26.73,45.90,94.00,25.80
2000,6,14.42,27.21,41.05,85.49,0.20
2000,7,11.33,24.98,38.26,88.01,33.80
2000,8,15.23,28.08,38.30,85.26,47.60
2000,9,17.21,27.83,52.14,92.15,122.20
2000,10,19.23,31.95,37.13,84.63,5.40
2000,11,19.37,29.54,50.28,94.57,177.60
2000,12,20.33,30.65,54.70,99.57,117.00
2001,1,19.64,30.33,50.31,98.56,90.40
2001,2,19.92,31.02,53.92,99.98,127.80
2001,3,19.13,30.85,59.02,99.95,182.40
2001,4,17.80,30.66,100.00,100.00,44.00
2001,5,14.55,26.11,100.00,100.00,69.20
2001,6,13.17,25.41,100.00,100.00,20.00
2001,7,14.33,27.53,45.07,90.93,11.00
2001,8,15.49,28.53,39.42,83.78,48.00
2001,9,17.64,31.93,0.00,0.00,80.60
2001,10,18.63,31.32,0.00,0.00,128.10
2001,11,20.98,31.58,0.00,0.00,236.20
2001,12,20.38,30.81,0.00,0.00,229.20
2002,1,19.59,29.84,80.97,99.28,130.71
2002,2,21.25,36.62,48.36,97.29,236.38
2002,3,20.93,33.26,42.91,94.01,128.26
2002,4,19.79,37.97,32.03,95.47,18.00
2002,5,17.14,30.18,0.00,0.00,77.00
2002,6,15.34,31.21,28.60,82.30,0.25
2002,7,12.80,28.22,32.09,86.52,14.73
2002,8,17.42,32.09,26.28,76.40,44.20
2002,9,16.06,54.48,34.22,86.42,73.92
2002,10,21.00,36.61,23.67,80.14,43.93
2002,11,20.99,32.48,42.80,91.79,202.95
2002,12,21.72,33.01,45.29,92.30,135.64
2003,1,17.71,28.17,100.00,100.00,340.40
2003,2,21.28,32.19,47.80,92.61,128.27
2003,3,20.39,31.57,48.48,93.84,125.22
2003,4,18.53,30.68,45.62,91.79,140.20
2003,5,13.86,30.73,36.05,90.64,71.63
2003,6,15.37,31.04,31.32,87.53,23.11
2003,7,14.48,40.45,26.92,84.17,05.08
2003,8,12.60,28.59,29.51,82.33,22.35
2003,9,16.72,32.08,27.52,74.44,7.87
2003,10,19.13,32.38,34.23,80.35,33.78
2003,11,19.67,32.08,38.45,85.83,96.78
2003,12,21.45,33.09,49.62,91.76,88.64
2004,1,21.06,31.47,50.25,90.39,200.16
2004,2,20.61,31.00,49.59,91.13,174.22
2004,3,19.27,31.85,41.32,90.28,67.06
2004,4,19.43,31.59,44.60,91.34,98.05
2004,5,14.69,26.86,47.68,92.27,75.44
2004,6,13.48,27.14,40.84,88.72,39.62
2004,7,13.81,26.96,38.20,86.02,31.24
2004,8,14.05,30.83,22.94,76.64,0.76
2004,9,19.04,35.89,15.75,59.00,0.25
2004,10,18.13,30.06,42.88,85.66,113.79
2004,11,19.75,31.95,38.51,85.10,127.25
2004,12,20.65,31.68,43.38,88.44,171.97
2005,1,21.62,30.41,57.48,92.26,322.82
2005,2,19.92,33.03,37.30,87.85,63.75
2005,3,20.81,32.08,45.23,90.12,189.23
2005,4,19.74,32.40,38.61,88.09,20.06
2005,5,16.53,29.33,38.51,84.05,119.39
2005,6,16.22,28.07,41.78,86.02,14.48
2005,7,13.77,26.28,41.37,85.93,49.78
2005,8,15.28,30.63,26.19,75.93,5.33
2005,9,16.83,30.18,40.06,87.35,64.26
2005,10,20.77,33.52,37.07,86.25,91.95
2005,11,20.02,32.34,39.96,87.51,104.65
2005,12,20.39,30.43,50.98,91.26,243.84
2006,1,20.67,32.60,42.07,89.28,191.53
2006,2,20.85,31.63,50.23,92.94,368.04
2006,3,21.49,31.73,50.90,93.11,80.01
2006,4,18.16,30.85,45.37,90.57,78.23
2006,5,12.45,29.33,28.62,90.89,54.20
2006,6,13.58,28.28,33.51,84.06,9.65
2006,7,14.25,30.21,27.94,76.81,0.00
2006,8,15.21,32.12,23.97,72.56,13.21
2006,9,8.89,47.86,13.88,87.90,48.87
2006,10,20.72,31.08,0.00,0.00,160.00
2006,11,21.16,31.87,0.00,0.00,135.40
2006,12,21.63,30.49,0.00,0.00,270.60
2007,1,21.89,29.51,0.00,0.00,618.60
2007,2,21.54,31.19,0.00,0.00,143.60
2007,3,21.68,32.84,0.00,0.00,73.20
2007,4,20.67,31.74,0.00,0.00,18.20
2007,5,16.65,28.05,0.00,0.00,95.80
2007,6,15.48,28.73,0.00,0.00,0.80
2007,7,14.63,27.04,0.00,0.00,51.00
2007,8,15.34,30.34,0.00,0.00,0.00
2007,9,19.15,33.94,0.00,0.00,0.00
2007,10,21.10,34.08,0.00,0.00,58.40
2007,11,19.85,31.39,36.18,84.56,50.90
2007,12,20.86,33.25,37.66,88.13,101.33
2008,1,21.04,30.80,51.71,92.91,328.16
2008,2,20.51,31.04,52.65,94.53,243.59
2008,3,19.46,30.69,50.06,93.99,98.06
2008,4,18.90,30.62,49.48,93.88,113.04
2008,5,14.11,27.35,44.65,92.03,48.51
2008,6,14.13,28.03,42.77,90.41,1.52
2008,7,13.76,30.08,23.36,73.94,0.00
2008,8,15.96,31.78,26.73,78.40,21.33
2008,9,15.58,31.16,26.91,79.08,18.79
2008,10,19.97,32.35,38.23,85.14,117.86
2008,11,19.79,32.97,38.02,87.98,94.99
2008,12,20.28,32.27,40.77,88.65,113.04
2009,1,20.53,30.70,49.46,91.01,186.18
2009,2,20.89,31.81,51.24,93.80,186.94
2009,3,12.61,25.11,41.33,84.29,133.86
2009,4,11.35,31.41,34.58,87.49,30.48
2009,5,15.90,29.91,37.41,91.08,46.23
2009,6,12.22,26.01,41.95,91.65,21.08
2009,7,14.69,28.39,39.95,88.80,21.08
2009,8,14.87,29.41,33.78,83.48,73.41
2009,9,18.72,30.89,43.69,91.37,179.58
2009,10,19.03,31.40,45.09,91.47,112.27
2009,11,21.80,32.91,43.76,91.20,161.80
2009,12,21.25,30.58,53.94,93.80,310.63
2010,1,21.20,30.85,52.69,93.99,234.78
2010,2,19.04,29.85,43.55,87.10,132.84
2010,3,20.74,32.37,44.71,92.53,81.28
2010,4,17.96,30.66,39.50,90.24,66.30
2010,5,13.40,28.42,36.23,92.03,10.41
2010,6,12.73,28.47,29.94,86.15,26.67
2010,7,15.00,30.24,27.74,77.67,01.02
2010,8,13.62,31.63,17.93,68.12,0.00
2010,9,17.95,32.52,27.81,71.86,90.43
2010,10,17.73,31.52,35.23,86.02,123.21
2010,11,19.08,31.23,39.96,87.95,95.24
2010,12,21.28,31.84,46.30,91.62,133.35
2011,1,21.07,31.96,47.45,93.93,216.67
2011,2,20.92,32.31,44.58,94.35,257.28
2011,3,20.69,28.98,60.27,94.45,319.53
2011,4,18.58,30.68,43.14,92.30,70.10
2011,5,13.59,28.62,36.49,92.06,3.81
2011,6,10.94,27.17,35.27,91.06,31.25
2011,7,14.01,29.86,29.20,81.14,0.00
2011,8,14.96,31.35,24.98,77.82,20.32
2011,9,16.55,33.51,21.18,71.71,10.41
2011,10,19.42,32.07,37.73,86.89,65.03
2011,11,18.20,32.07,33.08,86.62,80.51
2011,12,20.35,33.19,34.53,89.88,130.30
2012,1,20.10,30.33,48.13,92.78,345.98
2012,2,20.45,32.83,38.18,90.55,83.33
2012,3,19.54,32.43,38.19,91.08,71.88
2012,4,18.84,31.08,35.53,91.32,93.64
2012,5,15.03,26.95,0.00,0.00,84.10
2012,6,15.66,27.08,0.00,0.00,163.70
2012,7,12.79,28.62,0.00,0.00,15.20
2012,8,16.29,30.72,0.00,0.00,7.20
2012,9,17.08,33.69,37.51,87.42,70.54
2012,10,20.50,35.03,26.14,78.45,45.21
2012,11,20.53,33.03,37.21,87.38,136.64
2012,12,21.64,33.23,40.74,90.53,230.89
2013,1,20.68,31.79,46.74,91.47,130.04
2013,2,20.69,31.61,45.60,92.95,192.24
2013,3,19.89,31.09,50.24,93.36,176.30
2013,4,17.38,29.03,45.63,92.16,68.74
2013,5,15.46,29.78,36.21,89.59,42.92
2013,6,16.32,28.39,45.53,92.50,77.46
2013,7,12.71,27.24,35.76,89.90,35.56
2013,8,12.70,29.69,22.40,78.67,0.00
2013,9,16.96,30.93,29.00,75.14,87.73
2013,10,18.80,31.21,35.64,83.81,63.64
2013,11,20.22,32.28,38.45,88.87,129.79
2013,12,21.25,32.72,40.60,90.06,172.98
2014,1,20.44,33.22,37.42,91.34,96.52
2014,2,20.87,33.49,34.25,87.32,161.79
2014,3,22.29,37.72,45.54,97.66,283.73
2014,4,21.58,54.97,41.76,98.74,38.86
2014,5,15.31,39.78,30.12,94.65,10.80
2014,6,14.96,29.34,30.09,83.94,03.05
2014,7,13.74,27.67,34.12,83.26,53.60
2014,8,14.40,31.76,20.89,72.22,0.00
2014,9,18.15,33.16,27.48,75.57,101.84
2014,10,18.78,33.98,26.31,74.68,44.20
2014,11,20.27,31.73,43.80,90.58,235.46
2014,12,20.83,31.90,42.18,89.62,134.62
2015,1,21.09,34.35,34.07,90.27,155.42
2015,2,20.60,31.85,45.05,92.29,179.06
2015,3,19.98,30.54,49.65,93.45,260.35
2015,4,18.59,32.05,42.03,92.67,30.23
2015,5,16.00,28.62,44.14,92.09,87.38
2015,6,15.38,28.52,38.86,88.34,11.43
2015,7,16.05,28.10,41.28,85.99,76.72
2015,8,15.29,31.78,21.25,72.91,7.62
2015,9,18.32,32.78,31.17,80.42,118.61
2015,10,20.26,34.56,30.39,83.19,74.86
2015,11,20.41,32.16,0.00,0.00,153.30
2015,12,20.44,31.28,43.33,89.73,211.15
2016,1,21.71,30.87,52.03,89.77,513.43
2016,2,21.56,32.79,42.51,91.26,208.27
2016,3,20.49,32.14,46.47,92.32,226.81
2016,4,18.15,33.50,27.71,88.12,1.60
2016,5,14.88,28.05,0.00,0.00,0.00
2016,6,13.37,26.98,34.36,89.16,1.97
2016,7,12.25,30.03,21.81,80.65,0.50
2016,8,14.43,30.71,24.83,79.63,31.49
2016,9,15.36,31.03,27.19,81.04,26.16
2016,10,18.53,32.77,30.22,84.66,118.86
2016,11,19.69,31.99,37.63,86.14,97.27
2016,12,20.88,31.85,43.61,89.13,218.43
2017,1,20.72,30.66,50.23,92.33,357.11
2017,2,20.90,32.59,41.16,90.55,145.27
2017,3,20.37,32.27,41.99,90.68,161.02
2017,4,18.30,30.36,45.07,89.73,73.89
2017,5,17.74,29.77,43.11,90.76,124.20
2017,6,14.00,27.90,36.02,86.50,04.04
2017,7,13.18,27.69,26.48,75.26,0.00
2017,8,15.18,30.29,27.86,77.12,26.91
2017,9,17.84,34.78,14.60,58.87,05.08
2017,10,19.40,33.29,30.45,81.18,143.76
2017,11,19.74,31.62,40.32,86.99,183.90
2017,12,21.08,31.87,43.42,90.56,274.07
2018,1,20.69,31.72,45.54,92.30,213.08
2018,2,19.80,31.70,44.25,91.70,109.72
2018,3,21.30,33.93,38.62,91.16,64.24
2018,4,17.81,32.09,35.07,87.69,24.63
2018,5,15.09,30.27,29.22,84.37,13.46
2018,6,18.53,25.07,45.85,69.00,0.00
2018,7,18.63,26.61,33.79,53.95,02.03
2018,8,14.29,29.50,28.69,83.28,24.38
2018,9,17.29,32.37,27.25,79.29,69.32
2018,10,20.18,31.92,42.20,87.48,119.87
2018,11,20.29,30.75,49.07,89.89,201.15
2018,12,20.48,33.13,39.73,88.96,150.11
2019,1,20.94,34.49,36.58,90.89,98.79
2019,2,20.84,32.67,44.24,92.06,255.52
2019,3,20.24,32.10,46.02,92.81,149.60
2019,4,18.69,32.48,40.72,93.22,157.71
2019,5,16.44,30.81,38.17,91.23,28.70
2019,6,14.86,29.71,29.49,83.79,7.36
2019,7,13.43,29.02,25.06,77.62,15.50
2019,8,15.83,30.51,28.05,74.08,50.04
2019,9,18.72,34.78,24.55,77.60,47.00
2019,10,20.19,35.13,27.22,81.15,65.27
2019,11,20.91,33.73,35.59,86.96,205.23
2019,12,21.16,31.43,47.59,91.32,99.55
2020,1,21.27,33.01,45.80,92.25,219.60
2020,2,21.01,31.68,52.76,93.55,322.30
2020,3,18.79,33.99,36.35,91.24,72.50
2020,4,15.99,33.43,33.10,91.36,38.50
2020,5,13.07,30.33,30.72,89.04,22.90
2020,6,15.99,30.00,32.96,83.88,16.20
2020,7,14.61,30.44,23.85,78.07,0.00
2020,8,14.85,30.98,21.85,70.07,4.20
2020,9,19.65,35.93,16.88,59.04,2.80
2020,10,20.87,35.62,27.04,74.82,70.90
2020,11,19.71,34.18,25.35,76.73,42.50
2020,12,21.05,32.57,41.92,90.24,225.50
2021,1,21.01,32.52,42.89,91.85,95.73
2021,2,19.84,34.37,35.75,90.55,51.30
2021,3,20.14,32.06,40.86,91.47,118.87
2021,4,16.44,31.54,30.75,86.61,7.62
2021,5,14.88,30.41,29.49,84.51,5.33
2021,6,13.90,29.35,30.97,84.95,9.39
2021,7,10.12,28.46,17.48,70.39,0.51
2021,8,15.92,32.12,19.30,64.99,1.27
2021,9,18.86,35.99,18.28,68.41,26.67
2021,10,19.19,32.04,38.65,87.39,219.43
2021,11,20.03,32.88,35.62,84.71,81.27
2021,12,20.03,32.06,42.35,87.98,199.13
2022,1,20.83,31.65,45.45,91.74,234.88
2022,2,20.40,32.33,43.70,92.24,174.24
2022,3,20.89,33.19,39.55,90.66,219.66
2022,4,18.47,32.32,34.84,88.44,22.35
2022,5,13.53,28.22,33.57,87.86,44.20
2022,6,13.87,28.17,38.42,89.65,33.28
2022,7,15.03,31.62,22.33,75.25,0.00
2022,8,14.80,30.05,26.79,73.80,19.04
